x,y,nb_neurons,cores,mem
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
256,165,119525,0,0
251,162,114229,0,0
251,162,114229,0,0
251,162,114229,0,0
251,162,114229,0,0
251,162,114229,0,0
247,160,110423,0,0
247,160,110423,0,0
247,160,110423,0,0
247,160,110423,0,0
247,160,110423,0,0
243,157,105836,0,0
243,157,105836,0,0
243,157,105836,0,0
243,157,105836,0,0
243,157,105836,0,0
238,154,100856,0,0
238,154,100856,0,0
238,154,100856,0,0
238,154,100856,0,0
238,154,100856,0,0
234,152,97282,0,0
234,152,97282,0,0
234,152,97282,0,0
234,152,97282,0,0
234,152,97282,0,0
229,149,92510,0,0
229,149,92510,0,0
229,149,92510,0,0
229,149,92510,0,0
229,149,92510,0,0
225,146,88315,0,0
225,146,88315,0,0
225,146,88315,0,0
225,146,88315,0,0
225,146,88315,0,0
220,143,83771,0,0
220,143,83771,0,0
220,143,83771,0,0
220,143,83771,0,0
220,143,83771,0,0
215,141,80080,0,0
215,141,80080,0,0
215,141,80080,0,0
215,141,80080,0,0
215,141,80080,0,0
210,138,75756,0,0
210,138,75756,0,0
210,138,75756,0,0
210,138,75756,0,0
210,138,75756,0,0
205,135,71552,0,0
205,135,71552,0,0
205,135,71552,0,0
205,135,71552,0,0
205,135,71552,0,0
200,132,67468,0,0
200,132,67468,0,0
200,132,67468,0,0
200,132,67468,0,0
200,132,67468,0,0
195,129,63504,0,0
195,129,63504,0,0
195,129,63504,0,0
195,129,63504,0,0
195,129,63504,0,0
178,119,51041,0,0
178,119,51041,0,0
178,119,51041,0,0
178,119,51041,0,0
178,119,51041,0,0
172,115,46703,0,0
172,115,46703,0,0
172,115,46703,0,0
172,115,46703,0,0
172,115,46703,0,0
166,112,43094,0,0
166,112,43094,0,0
166,112,43094,0,0
166,112,43094,0,0
166,112,43094,0,0
160,108,39116,0,0
160,108,39116,0,0
160,108,39116,0,0
160,108,39116,0,0
160,108,39116,0,0
153,104,35041,0,0
153,104,35041,0,0
153,104,35041,0,0
153,104,35041,0,0
153,104,35041,0,0
146,100,31190,0,0
146,100,31190,0,0
146,100,31190,0,0
146,100,31190,0,0
146,100,31190,0,0
139,96,27563,0,0
139,96,27563,0,0
139,96,27563,0,0
139,96,27563,0,0
139,96,27563,0,0
131,91,23522,0,0
131,91,23522,0,0
131,91,23522,0,0
131,91,23522,0,0
131,91,23522,0,0
124,86,20018,0,0
124,86,20018,0,0
124,86,20018,0,0
124,86,20018,0,0
124,86,20018,0,0
115,81,16400,0,0
115,81,16400,0,0
115,81,16400,0,0
115,81,16400,0,0
115,81,16400,0,0
106,76,13142,0,0
106,76,13142,0,0
106,76,13142,0,0
106,76,13142,0,0
106,76,13142,0,0
96,70,9830,0,0
96,70,9830,0,0
96,70,9830,0,0
96,70,9830,0,0
96,70,9830,0,0
85,64,6869,0,0
85,64,6869,0,0
85,64,6869,0,0
85,64,6869,0,0
85,64,6869,0,0
73,57,4166,0,0
73,57,4166,0,0
73,57,4166,0,0
73,57,4166,0,0
73,57,4166,0,0
